name,price,expansion,finish,rarity,art_link
Angels Egg,3.44,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521748/sorcery-contested-realm-alpha-angels-egg
Angels Egg Foil,50.0,Alpha,Foil,Elite,https://www.tcgplayer.com/product/521749/sorcery-contested-realm-alpha-angels-egg-foil
Anui Undine,0.37,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/521750/sorcery-contested-realm-alpha-anui-undine
Anui Undine Foil,19.99,Alpha,Foil,Exceptional,https://www.tcgplayer.com/product/521751/sorcery-contested-realm-alpha-anui-undine-foil
Apprentice Wizard,0.28,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521753/sorcery-contested-realm-alpha-apprentice-wizard
Apprentice Wizard Foil,22.0,Alpha,Foil,Ordinary,https://www.tcgplayer.com/product/521755/sorcery-contested-realm-alpha-apprentice-wizard-foil
Aquamarine Core,87.35,Alpha,Standard,Unique,https://www.tcgplayer.com/product/521762/sorcery-contested-realm-alpha-aquamarine-core
Aquamarine Core Foil,1180.0,Alpha,Foil,Unique,https://www.tcgplayer.com/product/521763/sorcery-contested-realm-alpha-aquamarine-core-foil
Aqueduct,2.79,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/521764/sorcery-contested-realm-alpha-aqueduct
Aramos Mercenaries,0.11,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521766/sorcery-contested-realm-alpha-aramos-mercenaries
Aramos Mercenaries Foil,13.5,Alpha,Foil,Ordinary,https://www.tcgplayer.com/product/521767/sorcery-contested-realm-alpha-aramos-mercenaries-foil
Arid Desert,0.23,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521768/sorcery-contested-realm-alpha-arid-desert
Arid Desert Foil,10.0,Alpha,Foil,Ordinary,https://www.tcgplayer.com/product/521770/sorcery-contested-realm-alpha-arid-desert-foil
Askelon Phoenix,1.27,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521771/sorcery-contested-realm-alpha-askelon-phoenix
Assorted Animals,1.74,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521773/sorcery-contested-realm-alpha-assorted-animals
Assorted Animals Foil,9.0,Alpha,Foil,Elite,https://www.tcgplayer.com/product/521774/sorcery-contested-realm-alpha-assorted-animals-foil
Astral Alcazar,1.68,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521775/sorcery-contested-realm-alpha-astral-alcazar
Atlantean Fate,29.32,Alpha,Standard,Unique,https://www.tcgplayer.com/product/521777/sorcery-contested-realm-alpha-atlantean-fate
Atlantean Fate Foil,289.49,Alpha,Foil,Unique,https://www.tcgplayer.com/product/521778/sorcery-contested-realm-alpha-atlantean-fate-foil
Atlas Wanderers,1.59,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521779/sorcery-contested-realm-alpha-atlas-wanderers
Atlas Wanderers Foil,74.95,Alpha,Foil,Elite,https://www.tcgplayer.com/product/521780/sorcery-contested-realm-alpha-atlas-wanderers-foil
Autumn River,0.27,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521781/sorcery-contested-realm-alpha-autumn-river
Autumn River Foil,13.99,Alpha,Foil,Ordinary,https://www.tcgplayer.com/product/521782/sorcery-contested-realm-alpha-autumn-river-foil
Autumn Unicorn,0.51,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/521512/sorcery-contested-realm-alpha-autumn-unicorn
Autumn Unicorn Foil,55.0,Alpha,Foil,Exceptional,https://www.tcgplayer.com/product/521515/sorcery-contested-realm-alpha-autumn-unicorn-foil
Avatar of Air Preconstructed Deck,250.17,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521519/sorcery-contested-realm-alpha-avatar-of-air-preconstructed-deck
Avatar of Earth Preconstructed Deck,169.31,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521526/sorcery-contested-realm-alpha-avatar-of-earth-preconstructed-deck
Avatar of Fire Foil,699.99,Alpha,Foil,Elite,https://www.tcgplayer.com/product/521528/sorcery-contested-realm-alpha-avatar-of-fire-foil
Avatar of Fire Preconstructed Deck,91.05,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521527/sorcery-contested-realm-alpha-avatar-of-fire-preconstructed-deck
Avatar of Water Preconstructed Deck,121.53,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521532/sorcery-contested-realm-alpha-avatar-of-water-preconstructed-deck
Awakened Mummies,0.38,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/521536/sorcery-contested-realm-alpha-awakened-mummies
Awakened Mummies Foil,21.0,Alpha,Foil,Exceptional,https://www.tcgplayer.com/product/521537/sorcery-contested-realm-alpha-awakened-mummies-foil
Azuridge Caravan,0.1,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521541/sorcery-contested-realm-alpha-azuridge-caravan
Azuridge Caravan Foil,7.02,Alpha,Foil,Ordinary,https://www.tcgplayer.com/product/521540/sorcery-contested-realm-alpha-azuridge-caravan-foil
Backstab,0.32,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/521543/sorcery-contested-realm-alpha-backstab
Bane Widow,0.43,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/521550/sorcery-contested-realm-alpha-bane-widow
Battering Ram,0.3,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/521552/sorcery-contested-realm-alpha-battering-ram
Battering Ram Foil,20.0,Alpha,Foil,Exceptional,https://www.tcgplayer.com/product/521553/sorcery-contested-realm-alpha-battering-ram-foil
Battlefield,0.78,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521555/sorcery-contested-realm-alpha-battlefield
Battlemage,4.28,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521559/sorcery-contested-realm-alpha-battlemage
Battlemage Foil,173.49,Alpha,Foil,Elite,https://www.tcgplayer.com/product/521561/sorcery-contested-realm-alpha-battlemage-foil
Beast of Burden,0.15,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521566/sorcery-contested-realm-alpha-beast-of-burden
Beast of Burden Foil,7.43,Alpha,Foil,Ordinary,https://www.tcgplayer.com/product/521564/sorcery-contested-realm-alpha-beast-of-burden-foil
Bedrock,0.46,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/521569/sorcery-contested-realm-alpha-bedrock
Bedrock Foil,22.98,Alpha,Foil,Exceptional,https://www.tcgplayer.com/product/521572/sorcery-contested-realm-alpha-bedrock-foil
Belfry,1.43,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521576/sorcery-contested-realm-alpha-belfry
Belfry Foil,36.31,Alpha,Foil,Elite,https://www.tcgplayer.com/product/521574/sorcery-contested-realm-alpha-belfry-foil
Belmotte Longbowmen,0.17,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521789/sorcery-contested-realm-alpha-belmotte-longbowmen
Belmotte Longbowmen Foil,7.33,Alpha,Foil,Ordinary,https://www.tcgplayer.com/product/521791/sorcery-contested-realm-alpha-belmotte-longbowmen-foil
Black Obelisk,1.77,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521793/sorcery-contested-realm-alpha-black-obelisk
Black Obelisk Foil,48.99,Alpha,Foil,Elite,https://www.tcgplayer.com/product/521792/sorcery-contested-realm-alpha-black-obelisk-foil
Blasted Oak,8.35,Alpha,Standard,Unique,https://www.tcgplayer.com/product/521795/sorcery-contested-realm-alpha-blasted-oak
Blasted Oak Foil,189.99,Alpha,Foil,Unique,https://www.tcgplayer.com/product/521796/sorcery-contested-realm-alpha-blasted-oak-foil
Blaze,0.39,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/521801/sorcery-contested-realm-alpha-blaze
Blaze Foil,19.5,Alpha,Foil,Exceptional,https://www.tcgplayer.com/product/521797/sorcery-contested-realm-alpha-blaze-foil
Blink,0.31,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521803/sorcery-contested-realm-alpha-blink
Blizzard,0.13,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521807/sorcery-contested-realm-alpha-blizzard
Blizzard Foil,17.05,Alpha,Foil,Ordinary,https://www.tcgplayer.com/product/521806/sorcery-contested-realm-alpha-blizzard-foil
Blood Ravens,0.15,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521808/sorcery-contested-realm-alpha-blood-ravens
Blood Ravens Foil,11.41,Alpha,Foil,Ordinary,https://www.tcgplayer.com/product/521809/sorcery-contested-realm-alpha-blood-ravens-foil
Boil,0.2,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521811/sorcery-contested-realm-alpha-boil
Boil Foil,7.99,Alpha,Foil,Ordinary,https://www.tcgplayer.com/product/521810/sorcery-contested-realm-alpha-boil-foil
Bone Rabble,0.08,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521727/sorcery-contested-realm-alpha-bone-rabble
Bone Rabble Foil,8.38,Alpha,Foil,Ordinary,https://www.tcgplayer.com/product/521728/sorcery-contested-realm-alpha-bone-rabble-foil
Boneyard,6.59,Alpha,Standard,Unique,https://www.tcgplayer.com/product/521729/sorcery-contested-realm-alpha-boneyard
Boneyard Foil,220.99,Alpha,Foil,Unique,https://www.tcgplayer.com/product/521730/sorcery-contested-realm-alpha-boneyard-foil
Border Militia,0.13,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521731/sorcery-contested-realm-alpha-border-militia
Bosk Troll,0.15,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521733/sorcery-contested-realm-alpha-bosk-troll
Bottomless Pit,2.16,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521737/sorcery-contested-realm-alpha-bottomless-pit
Bridge Troll,0.71,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/521743/sorcery-contested-realm-alpha-bridge-troll
Bridge Troll Foil,19.0,Alpha,Foil,Exceptional,https://www.tcgplayer.com/product/521744/sorcery-contested-realm-alpha-bridge-troll-foil
Brobdingnag Bullfrog,0.26,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/521745/sorcery-contested-realm-alpha-brobdingnag-bullfrog
Brobdingnag Bullfrog Preconstructed Deck,0.99,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/521746/sorcery-contested-realm-alpha-brobdingnag-bullfrog-preconstructed-deck
Browse,27.53,Alpha,Standard,Unique,https://www.tcgplayer.com/product/521758/sorcery-contested-realm-alpha-browse
Bull Demons of Adum,0.53,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521784/sorcery-contested-realm-alpha-bull-demons-of-adum
Bull Demons of Adum Preconstructed Deck,2.2,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521785/sorcery-contested-realm-alpha-bull-demons-of-adum-preconstructed-deck
Buried Treasure,0.39,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/521787/sorcery-contested-realm-alpha-buried-treasure
Buried Treasure Foil,14.43,Alpha,Foil,Exceptional,https://www.tcgplayer.com/product/521788/sorcery-contested-realm-alpha-buried-treasure-foil
Bury,0.32,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521798/sorcery-contested-realm-alpha-bury
Bury Foil,10.92,Alpha,Foil,Ordinary,https://www.tcgplayer.com/product/521802/sorcery-contested-realm-alpha-bury-foil
Call to War,0.44,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/521812/sorcery-contested-realm-alpha-call-to-war
Call to War Foil,14.88,Alpha,Foil,Exceptional,https://www.tcgplayer.com/product/521813/sorcery-contested-realm-alpha-call-to-war-foil
Candlemas Monks,0.94,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521814/sorcery-contested-realm-alpha-candlemas-monks
Captain Baldassare,9.37,Alpha,Standard,Unique,https://www.tcgplayer.com/product/521823/sorcery-contested-realm-alpha-captain-baldassare
Cauldron Crones,0.13,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521844/sorcery-contested-realm-alpha-cauldron-crones
Cauldron Crones Foil,6.97,Alpha,Foil,Ordinary,https://www.tcgplayer.com/product/521845/sorcery-contested-realm-alpha-cauldron-crones-foil
Cave In,0.6,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/521851/sorcery-contested-realm-alpha-cave-in
Cave Trolls,0.18,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521848/sorcery-contested-realm-alpha-cave-trolls
Cave Trolls Foil,6.42,Alpha,Foil,Ordinary,https://www.tcgplayer.com/product/521850/sorcery-contested-realm-alpha-cave-trolls-foil
Cerberus in Chains,6.94,Alpha,Standard,Unique,https://www.tcgplayer.com/product/521853/sorcery-contested-realm-alpha-cerberus-in-chains
Chain Lightning,0.36,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/521861/sorcery-contested-realm-alpha-chain-lightning
Chain Lightning Foil,14.62,Alpha,Foil,Exceptional,https://www.tcgplayer.com/product/521863/sorcery-contested-realm-alpha-chain-lightning-foil
Chains of Prometheus,1.01,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521864/sorcery-contested-realm-alpha-chains-of-prometheus
Chains of Prometheus Foil,44.06,Alpha,Foil,Elite,https://www.tcgplayer.com/product/521865/sorcery-contested-realm-alpha-chains-of-prometheus-foil
Chaos Twister,1.56,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521869/sorcery-contested-realm-alpha-chaos-twister
Clamor of Harpies,0.54,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/521903/sorcery-contested-realm-alpha-clamor-of-harpies
Clamor of Harpies Foil,19.47,Alpha,Foil,Exceptional,https://www.tcgplayer.com/product/521908/sorcery-contested-realm-alpha-clamor-of-harpies-foil
Cloud City,5.4,Alpha,Standard,Unique,https://www.tcgplayer.com/product/521911/sorcery-contested-realm-alpha-cloud-city
Cloud City Preconstructed Deck,2.46,Alpha,Standard,Unique,https://www.tcgplayer.com/product/521910/sorcery-contested-realm-alpha-cloud-city-preconstructed-deck
Cloud Spirit,0.16,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521923/sorcery-contested-realm-alpha-cloud-spirit
Colicky Dragonettes,1.5,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/521958/sorcery-contested-realm-alpha-colicky-dragonettes
Colicky Dragonettes Foil,31.74,Alpha,Foil,Exceptional,https://www.tcgplayer.com/product/521938/sorcery-contested-realm-alpha-colicky-dragonettes-foil
Common Sense,0.33,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521960/sorcery-contested-realm-alpha-common-sense
Common Sense Foil,33.75,Alpha,Foil,Ordinary,https://www.tcgplayer.com/product/521961/sorcery-contested-realm-alpha-common-sense-foil
Cone of Flame,0.3,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/522031/sorcery-contested-realm-alpha-cone-of-flame
Cone of Flame Foil,14.59,Alpha,Foil,Exceptional,https://www.tcgplayer.com/product/522034/sorcery-contested-realm-alpha-cone-of-flame-foil
Conqueror Worm,1.72,Alpha,Standard,Elite,https://www.tcgplayer.com/product/522041/sorcery-contested-realm-alpha-conqueror-worm
Coral Reef Kelpie,0.08,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/522048/sorcery-contested-realm-alpha-coral-reef-kelpie
Coral Reef Kelpie Foil,5.67,Alpha,Foil,Ordinary,https://www.tcgplayer.com/product/522055/sorcery-contested-realm-alpha-coral-reef-kelpie-foil
Cornerstone,0.36,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/522070/sorcery-contested-realm-alpha-cornerstone
Cornerstone Foil,21.96,Alpha,Foil,Exceptional,https://www.tcgplayer.com/product/522077/sorcery-contested-realm-alpha-cornerstone-foil
Court Jester,0.86,Alpha,Standard,Elite,https://www.tcgplayer.com/product/522093/sorcery-contested-realm-alpha-court-jester
Court Jester Foil,28.99,Alpha,Foil,Elite,https://www.tcgplayer.com/product/522081/sorcery-contested-realm-alpha-court-jester-foil
Courtesan Thais,271.13,Alpha,Standard,Unique,https://www.tcgplayer.com/product/522109/sorcery-contested-realm-alpha-courtesan-thais
Craterize,1.47,Alpha,Standard,Elite,https://www.tcgplayer.com/product/522128/sorcery-contested-realm-alpha-craterize
Craterize Foil,52.18,Alpha,Foil,Elite,https://www.tcgplayer.com/product/522134/sorcery-contested-realm-alpha-craterize-foil
Crave Golem,1.3,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/522139/sorcery-contested-realm-alpha-crave-golem
Crave Golem Foil,6.5,Alpha,Foil,Exceptional,https://www.tcgplayer.com/product/522143/sorcery-contested-realm-alpha-crave-golem-foil
Critical Strike,0.1,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/522216/sorcery-contested-realm-alpha-critical-strike
Critical Strike Box Topper,1.02,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/530294/sorcery-contested-realm-alpha-critical-strike-box-topper
Critical Strike Foil,9.94,Alpha,Foil,Ordinary,https://www.tcgplayer.com/product/522217/sorcery-contested-realm-alpha-critical-strike-foil
Crossroads,3.15,Alpha,Standard,Elite,https://www.tcgplayer.com/product/522220/sorcery-contested-realm-alpha-crossroads
Crossroads Foil,87.0,Alpha,Foil,Elite,https://www.tcgplayer.com/product/522221/sorcery-contested-realm-alpha-crossroads-foil
Crown Prince,8.03,Alpha,Standard,Unique,https://www.tcgplayer.com/product/522225/sorcery-contested-realm-alpha-crown-prince
Crown of the Victor,6.83,Alpha,Standard,Unique,https://www.tcgplayer.com/product/522222/sorcery-contested-realm-alpha-crown-of-the-victor
Dalcean Phalanx,0.6,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/522228/sorcery-contested-realm-alpha-dalcean-phalanx
Dalcean Phalanx Foil,24.88,Alpha,Foil,Exceptional,https://www.tcgplayer.com/product/522230/sorcery-contested-realm-alpha-dalcean-phalanx-foil
Daperyll Vampire,1.16,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/522236/sorcery-contested-realm-alpha-daperyll-vampire
Daperyll Vampire Foil,47.0,Alpha,Foil,Exceptional,https://www.tcgplayer.com/product/522235/sorcery-contested-realm-alpha-daperyll-vampire-foil
Dark Tower,0.33,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/522238/sorcery-contested-realm-alpha-dark-tower
Dark Tower Foil,22.99,Alpha,Foil,Ordinary,https://www.tcgplayer.com/product/522244/sorcery-contested-realm-alpha-dark-tower-foil
Dead of Night Demon,0.08,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521538/sorcery-contested-realm-alpha-dead-of-night-demon
Dead of Night Demon Foil,8.59,Alpha,Foil,Ordinary,https://www.tcgplayer.com/product/521551/sorcery-contested-realm-alpha-dead-of-night-demon-foil
Death Dealer,250.48,Alpha,Standard,Unique,https://www.tcgplayer.com/product/521562/sorcery-contested-realm-alpha-death-dealer
Deaths Door Foil Pledge Pack,45.28,Alpha,Foil,Unique,https://www.tcgplayer.com/product/530320/sorcery-contested-realm-alpha-deaths-door-foil-pledge-pack
Deathspeaker,4.19,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521667/sorcery-contested-realm-alpha-deathspeaker
Deep Sea Mermaids,0.25,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521670/sorcery-contested-realm-alpha-deep-sea-mermaids
Deep Sea Mermaids Foil,11.31,Alpha,Foil,Ordinary,https://www.tcgplayer.com/product/521671/sorcery-contested-realm-alpha-deep-sea-mermaids-foil
Deep Sea Mermaids Preconstructed Deck,0.47,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521674/sorcery-contested-realm-alpha-deep-sea-mermaids-preconstructed-deck
Devils Egg,0.81,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521675/sorcery-contested-realm-alpha-devils-egg
Diluvian Kraken,1.15,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521680/sorcery-contested-realm-alpha-diluvian-kraken
Diluvian Kraken Foil,89.94,Alpha,Foil,Elite,https://www.tcgplayer.com/product/521681/sorcery-contested-realm-alpha-diluvian-kraken-foil
Diluvian Kraken Preconstructed Deck,0.47,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521682/sorcery-contested-realm-alpha-diluvian-kraken-preconstructed-deck
Disenchant,0.22,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521683/sorcery-contested-realm-alpha-disenchant
Disenchant Foil,11.69,Alpha,Foil,Ordinary,https://www.tcgplayer.com/product/521684/sorcery-contested-realm-alpha-disenchant-foil
Disintegrate,2.96,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521685/sorcery-contested-realm-alpha-disintegrate
Disintegrate Foil,35.75,Alpha,Foil,Elite,https://www.tcgplayer.com/product/521686/sorcery-contested-realm-alpha-disintegrate-foil
Dispel,0.13,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521687/sorcery-contested-realm-alpha-dispel
Dispel Foil,16.46,Alpha,Foil,Ordinary,https://www.tcgplayer.com/product/521688/sorcery-contested-realm-alpha-dispel-foil
Divine Healing,0.52,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/521690/sorcery-contested-realm-alpha-divine-healing
Divine Healing Foil,28.13,Alpha,Foil,Exceptional,https://www.tcgplayer.com/product/521691/sorcery-contested-realm-alpha-divine-healing-foil
Dodge Roll,0.38,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/521692/sorcery-contested-realm-alpha-dodge-roll
Dodge Roll Foil,17.47,Alpha,Foil,Exceptional,https://www.tcgplayer.com/product/521693/sorcery-contested-realm-alpha-dodge-roll-foil
Dome of Osiros,7.49,Alpha,Standard,Unique,https://www.tcgplayer.com/product/521696/sorcery-contested-realm-alpha-dome-of-osiros
Donnybrook Inn,5.67,Alpha,Standard,Unique,https://www.tcgplayer.com/product/521699/sorcery-contested-realm-alpha-donnybrook-inn
Doomsday Device,4.22,Alpha,Standard,Unique,https://www.tcgplayer.com/product/521701/sorcery-contested-realm-alpha-doomsday-device
Doomsday Prophet,2.98,Alpha,Standard,Unique,https://www.tcgplayer.com/product/521704/sorcery-contested-realm-alpha-doomsday-prophet
Doomsday Prophet Foil,100.0,Alpha,Foil,Unique,https://www.tcgplayer.com/product/521705/sorcery-contested-realm-alpha-doomsday-prophet-foil
Doomsday Prophet Preconstructed Deck,2.91,Alpha,Standard,Unique,https://www.tcgplayer.com/product/521706/sorcery-contested-realm-alpha-doomsday-prophet-preconstructed-deck
Dream Quest,12.21,Alpha,Standard,Unique,https://www.tcgplayer.com/product/521708/sorcery-contested-realm-alpha-dream-quest
Drought,0.33,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/521821/sorcery-contested-realm-alpha-drought
Drought Foil,9.0,Alpha,Foil,Exceptional,https://www.tcgplayer.com/product/521822/sorcery-contested-realm-alpha-drought-foil
Drown,0.24,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521825/sorcery-contested-realm-alpha-drown
Drown Foil,20.5,Alpha,Foil,Ordinary,https://www.tcgplayer.com/product/521827/sorcery-contested-realm-alpha-drown-foil
Drums of Doom,0.82,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521830/sorcery-contested-realm-alpha-drums-of-doom
Drums of Doom Foil,49.94,Alpha,Foil,Elite,https://www.tcgplayer.com/product/521831/sorcery-contested-realm-alpha-drums-of-doom-foil
Dwarven Digging Team,0.3,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/521835/sorcery-contested-realm-alpha-dwarven-digging-team
Dwarven Digging Team Foil,9.25,Alpha,Foil,Exceptional,https://www.tcgplayer.com/product/521836/sorcery-contested-realm-alpha-dwarven-digging-team-foil
Dwarven Forge,0.93,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521816/sorcery-contested-realm-alpha-dwarven-forge
Dwarven Forge Foil,40.0,Alpha,Foil,Elite,https://www.tcgplayer.com/product/521817/sorcery-contested-realm-alpha-dwarven-forge-foil
Earthquake,8.07,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521820/sorcery-contested-realm-alpha-earthquake
East West Dragon,1.46,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521826/sorcery-contested-realm-alpha-east-west-dragon
East West Dragon Foil,27.43,Alpha,Foil,Elite,https://www.tcgplayer.com/product/521828/sorcery-contested-realm-alpha-east-west-dragon-foil
Edge of the World,1.68,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521834/sorcery-contested-realm-alpha-edge-of-the-world
Edge of the World Foil,68.0,Alpha,Foil,Elite,https://www.tcgplayer.com/product/521833/sorcery-contested-realm-alpha-edge-of-the-world-foil
Elementalist,2.81,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521837/sorcery-contested-realm-alpha-elementalist
Enchantress,3.17,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521840/sorcery-contested-realm-alpha-enchantress
Enchantress Foil,175.0,Alpha,Foil,Elite,https://www.tcgplayer.com/product/521839/sorcery-contested-realm-alpha-enchantress-foil
Entangle Terrain,0.19,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521841/sorcery-contested-realm-alpha-entangle-terrain
Entangle Terrain Foil,8.76,Alpha,Foil,Ordinary,https://www.tcgplayer.com/product/521843/sorcery-contested-realm-alpha-entangle-terrain-foil
