name,price,expansion,finish,rarity,art_link
Avatar of Fire Preconstructed Deck,88.22,Alpha,Standard,Elite,
Avatar of Water Preconstructed Deck,121.53,Alpha,Standard,Elite,
Awakened Mummies,0.39,Alpha,Standard,Exceptional,alp-awakened_mummies-b-s
Awakened Mummies Foil,21.0,Alpha,Foil,Exceptional,alp-awakened_mummies-b-f
Azuridge Caravan,0.12,Alpha,Standard,Ordinary,alp-azuridge_caravan-b-s
Azuridge Caravan Foil,7.02,Alpha,Foil,Ordinary,alp-azuridge_caravan-b-f
Backstab,0.32,Alpha,Standard,Exceptional,alp-backstab-b-s
Bane Widow,0.39,Alpha,Standard,Exceptional,alp-bane_widow-b-s
Battering Ram,0.31,Alpha,Standard,Exceptional,alp-battering_ram-b-s
Battering Ram Foil,20.0,Alpha,Foil,Exceptional,alp-battering_ram-b-f
Battlefield,0.82,Alpha,Standard,Elite,alp-battlefield-b-s
Battlemage,4.02,Alpha,Standard,Elite,alp-battlemage-b-s
Battlemage Foil,173.49,Alpha,Foil,Elite,alp-battlemage-b-f
Beast of Burden,0.21,Alpha,Standard,Ordinary,alp-beast_of_burden-b-s
Beast of Burden Foil,7.43,Alpha,Foil,Ordinary,alp-beast_of_burden-b-f
Bedrock,0.45,Alpha,Standard,Exceptional,alp-bedrock-b-s
Bedrock Foil,20.16,Alpha,Foil,Exceptional,alp-bedrock-b-f
Belfry,1.44,Alpha,Standard,Elite,alp-belfry-b-s
Belfry Foil,36.31,Alpha,Foil,Elite,alp-belfry-b-f
Belmotte Longbowmen,0.19,Alpha,Standard,Ordinary,alp-belmotte_longbowmen-b-s
Belmotte Longbowmen Foil,7.33,Alpha,Foil,Ordinary,alp-belmotte_longbowmen-b-f
Black Obelisk,1.77,Alpha,Standard,Elite,alp-black_obelisk-b-s
Black Obelisk Foil,48.99,Alpha,Foil,Elite,alp-black_obelisk-b-f
Blasted Oak,8.31,Alpha,Standard,Unique,alp-blasted_oak-b-s
Blasted Oak Foil,189.99,Alpha,Foil,Unique,alp-blasted_oak-b-f
Blaze,0.4,Alpha,Standard,Exceptional,alp-blaze-b-s
Blaze Foil,19.5,Alpha,Foil,Exceptional,alp-blaze-b-f
Blink,0.26,Alpha,Standard,Ordinary,alp-blink-b-s
Blizzard,0.16,Alpha,Standard,Ordinary,alp-blizzard-b-s
Blizzard Foil,17.05,Alpha,Foil,Ordinary,alp-blizzard-b-f
Blood Ravens,0.18,Alpha,Standard,Ordinary,alp-blood_ravens-b-s
Blood Ravens Foil,11.41,Alpha,Foil,Ordinary,alp-blood_ravens-b-f
Boil,0.21,Alpha,Standard,Ordinary,alp-boil-b-s
Boil Foil,7.99,Alpha,Foil,Ordinary,alp-boil-b-f
Bone Rabble,0.08,Alpha,Standard,Ordinary,alp-bone_rabble-b-s
Bone Rabble Foil,8.44,Alpha,Foil,Ordinary,alp-bone_rabble-b-f
Boneyard,6.51,Alpha,Standard,Unique,alp-boneyard-b-s
Boneyard Foil,220.99,Alpha,Foil,Unique,alp-boneyard-b-f
Border Militia,0.15,Alpha,Standard,Ordinary,alp-border_militia-b-s
Bosk Troll,0.17,Alpha,Standard,Ordinary,alp-bosk_troll-b-s
Bottomless Pit,2.12,Alpha,Standard,Elite,alp-bottomless_pit-b-s
Bridge Troll,0.68,Alpha,Standard,Exceptional,alp-bridge_troll-b-s
Bridge Troll Foil,19.0,Alpha,Foil,Exceptional,alp-bridge_troll-b-f
Brobdingnag Bullfrog,0.26,Alpha,Standard,Exceptional,alp-brobdingnag_bullfrog-b-s
Browse,28.08,Alpha,Standard,Unique,alp-browse-b-s
Bull Demons of Adum,0.55,Alpha,Standard,Elite,alp-bull_demons_of_adum-b-s
Bull Demons of Adum Preconstructed Deck,1.91,Alpha,Standard,Elite,
Buried Treasure,0.39,Alpha,Standard,Exceptional,alp-buried_treasure-b-s
Buried Treasure Foil,14.43,Alpha,Foil,Exceptional,alp-buried_treasure-b-f
Bury,0.33,Alpha,Standard,Ordinary,alp-bury-b-s
Bury Foil,10.92,Alpha,Foil,Ordinary,alp-bury-b-f
Call to War,0.43,Alpha,Standard,Exceptional,alp-call_to_war-b-s
Call to War Foil,14.88,Alpha,Foil,Exceptional,alp-call_to_war-b-f
Candlemas Monks,1.02,Alpha,Standard,Elite,alp-candlemas_monks-b-s
Captain Baldassare,9.37,Alpha,Standard,Unique,alp-captain_baldassare-b-s
Cauldron Crones,0.16,Alpha,Standard,Ordinary,alp-cauldron_crones-b-s
Cauldron Crones Foil,7.84,Alpha,Foil,Ordinary,alp-cauldron_crones-b-f
Cave In,0.58,Alpha,Standard,Exceptional,alp-cave_in-b-s
Cave Trolls,0.21,Alpha,Standard,Ordinary,alp-cave_trolls-b-s
Cave Trolls Foil,6.42,Alpha,Foil,Ordinary,alp-cave_trolls-b-f
Cerberus in Chains,6.8,Alpha,Standard,Unique,alp-cerberus_in_chains-b-s
Chain Lightning,0.39,Alpha,Standard,Exceptional,alp-chain_lightning-b-s
Chain Lightning Foil,14.62,Alpha,Foil,Exceptional,alp-chain_lightning-b-f
Chains of Prometheus,1.03,Alpha,Standard,Elite,alp-chains_of_prometheus-b-s
Chains of Prometheus Foil,44.06,Alpha,Foil,Elite,alp-chains_of_prometheus-b-f
Chaos Twister,1.58,Alpha,Standard,Elite,alp-chaos_twister-b-s
Clamor of Harpies,0.5,Alpha,Standard,Exceptional,alp-clamor_of_harpies-b-s
Clamor of Harpies Foil,19.47,Alpha,Foil,Exceptional,alp-clamor_of_harpies-b-f
Cloud City,5.4,Alpha,Standard,Unique,alp-cloud_city-b-s
Cloud City Preconstructed Deck,2.46,Alpha,Standard,Unique,
Cloud Spirit,0.18,Alpha,Standard,Ordinary,alp-cloud_spirit-b-s
Cloud Spirit Foil,7.98,Alpha,Foil,Ordinary,alp-cloud_spirit-b-f
Colicky Dragonettes,1.47,Alpha,Standard,Exceptional,alp-colicky_dragonettes-b-s
Colicky Dragonettes Foil,31.74,Alpha,Foil,Exceptional,alp-colicky_dragonettes-b-f
Common Sense,0.32,Alpha,Standard,Ordinary,alp-common_sense-b-s
Common Sense Foil,32.5,Alpha,Foil,Ordinary,alp-common_sense-b-f
Cone of Flame,0.3,Alpha,Standard,Exceptional,alp-cone_of_flame-b-s
Cone of Flame Foil,14.59,Alpha,Foil,Exceptional,alp-cone_of_flame-b-f
Conqueror Worm,1.72,Alpha,Standard,Elite,alp-conqueror_worm-b-s
Coral Reef Kelpie,0.09,Alpha,Standard,Ordinary,alp-coral_reef_kelpie-b-s
Coral Reef Kelpie Foil,6.82,Alpha,Foil,Ordinary,alp-coral_reef_kelpie-b-f
Cornerstone,0.37,Alpha,Standard,Exceptional,alp-cornerstone-b-s
Cornerstone Foil,21.96,Alpha,Foil,Exceptional,alp-cornerstone-b-f
Court Jester,0.88,Alpha,Standard,Elite,alp-court_jester-b-s
Court Jester Foil,28.99,Alpha,Foil,Elite,alp-court_jester-b-f
Courtesan Thais,271.2,Alpha,Standard,Unique,alp-courtesan_thais-b-s
Craterize,1.46,Alpha,Standard,Elite,alp-craterize-b-s
Craterize Foil,52.18,Alpha,Foil,Elite,alp-craterize-b-f
Crave Golem,1.21,Alpha,Standard,Exceptional,alp-crave_golem-b-s
Crave Golem Foil,9.73,Alpha,Foil,Exceptional,alp-crave_golem-b-f
Critical Strike,0.12,Alpha,Standard,Ordinary,alp-critical_strike-bt-s
Critical Strike Box Topper,1.04,Alpha,Standard,Ordinary,
Critical Strike Foil,9.94,Alpha,Foil,Ordinary,alp-critical_strike-b-f
Crossroads,2.92,Alpha,Standard,Elite,alp-crossroads-b-s
Crossroads Foil,87.0,Alpha,Foil,Elite,alp-crossroads-b-f
Crown Prince,8.05,Alpha,Standard,Unique,alp-crown_prince-b-s
Crown of the Victor,6.63,Alpha,Standard,Unique,alp-crown_of_the_victor-b-s
Dalcean Phalanx,0.62,Alpha,Standard,Exceptional,alp-dalcean_phalanx-b-s
Dalcean Phalanx Foil,24.88,Alpha,Foil,Exceptional,alp-dalcean_phalanx-b-f
Daperyll Vampire,1.1,Alpha,Standard,Exceptional,alp-daperyll_vampire-b-s
Daperyll Vampire Foil,47.0,Alpha,Foil,Exceptional,alp-daperyll_vampire-b-f
Dark Tower,0.33,Alpha,Standard,Ordinary,alp-dark_tower-b-s
Dark Tower Foil,22.99,Alpha,Foil,Ordinary,alp-dark_tower-b-f
Dead of Night Demon,0.08,Alpha,Standard,Ordinary,alp-dead_of_night_demon-b-s
Dead of Night Demon Foil,8.59,Alpha,Foil,Ordinary,alp-dead_of_night_demon-b-f
Death Dealer,250.48,Alpha,Standard,Unique,alp-death_dealer-b-s
Deaths Door Foil Pledge Pack,41.15,Alpha,Foil,Unique,
Deathspeaker,4.19,Alpha,Standard,Elite,alp-deathspeaker-b-s
Deep Sea Mermaids,0.25,Alpha,Standard,Ordinary,alp-deep_sea_mermaids-b-s
Deep Sea Mermaids Foil,11.31,Alpha,Foil,Ordinary,alp-deep_sea_mermaids-b-f
Deep Sea Mermaids Preconstructed Deck,0.47,Alpha,Standard,Ordinary,
Devils Egg,0.73,Alpha,Standard,Elite,alp-devils_egg-b-s
Diluvian Kraken,1.15,Alpha,Standard,Elite,alp-diluvian_kraken-b-s
Diluvian Kraken Foil,89.94,Alpha,Foil,Elite,alp-diluvian_kraken-b-f
Diluvian Kraken Preconstructed Deck,0.47,Alpha,Standard,Elite,
Disenchant,0.22,Alpha,Standard,Ordinary,alp-disenchant-b-s
Disenchant Foil,11.69,Alpha,Foil,Ordinary,alp-disenchant-b-f
Disintegrate,2.84,Alpha,Standard,Elite,alp-disintegrate-b-s
Disintegrate Foil,35.75,Alpha,Foil,Elite,alp-disintegrate-b-f
Dispel,0.14,Alpha,Standard,Ordinary,alp-dispel-b-s
Dispel Foil,16.46,Alpha,Foil,Ordinary,alp-dispel-b-f
Divine Healing,0.54,Alpha,Standard,Exceptional,alp-divine_healing-b-s
Divine Healing Foil,28.13,Alpha,Foil,Exceptional,alp-divine_healing-b-f
Dodge Roll,0.38,Alpha,Standard,Exceptional,alp-dodge_roll-b-s
Dodge Roll Foil,17.47,Alpha,Foil,Exceptional,alp-dodge_roll-b-f
Dome of Osiros,7.49,Alpha,Standard,Unique,alp-dome_of_osiros-b-s
Donnybrook Inn,5.34,Alpha,Standard,Unique,alp-donnybrook_inn-b-s
Doomsday Device,4.22,Alpha,Standard,Unique,alp-doomsday_device-b-s
Doomsday Device Foil,175.0,Alpha,Foil,Unique,alp-doomsday_device-b-f
Doomsday Prophet,2.98,Alpha,Standard,Unique,alp-doomsday_prophet-b-s
Doomsday Prophet Foil,100.0,Alpha,Foil,Unique,alp-doomsday_prophet-b-f
Doomsday Prophet Preconstructed Deck,2.91,Alpha,Standard,Unique,
Dream Quest,12.21,Alpha,Standard,Unique,alp-dream_quest-b-s
Drought,0.35,Alpha,Standard,Exceptional,alp-drought-b-s
Drought Foil,10.31,Alpha,Foil,Exceptional,alp-drought-b-f
Drown,0.24,Alpha,Standard,Ordinary,alp-drown-b-s
Drown Foil,20.5,Alpha,Foil,Ordinary,alp-drown-b-f
Drums of Doom,0.82,Alpha,Standard,Elite,alp-drums_of_doom-b-s
Drums of Doom Foil,49.94,Alpha,Foil,Elite,alp-drums_of_doom-b-f
Dwarven Digging Team,0.28,Alpha,Standard,Exceptional,alp-dwarven_digging_team-b-s
Dwarven Digging Team Foil,9.25,Alpha,Foil,Exceptional,alp-dwarven_digging_team-b-f
Dwarven Forge,0.95,Alpha,Standard,Elite,alp-dwarven_forge-b-s
Dwarven Forge Foil,40.0,Alpha,Foil,Elite,alp-dwarven_forge-b-f
Earthquake,7.68,Alpha,Standard,Elite,alp-earthquake-b-s
East West Dragon,1.57,Alpha,Standard,Elite,alp-east_west_dragon-b-s
East West Dragon Foil,27.43,Alpha,Foil,Elite,alp-east_west_dragon-b-f
Edge of the World,1.68,Alpha,Standard,Elite,alp-edge_of_the_world-b-s
Edge of the World Foil,68.0,Alpha,Foil,Elite,alp-edge_of_the_world-b-f
Elementalist,2.83,Alpha,Standard,Elite,alp-elementalist-b-s
Enchantress,3.09,Alpha,Standard,Elite,alp-enchantress-b-s
Enchantress Foil,175.0,Alpha,Foil,Elite,alp-enchantress-b-f
Entangle Terrain,0.21,Alpha,Standard,Ordinary,alp-entangle_terrain-b-s
Entangle Terrain Foil,8.0,Alpha,Foil,Ordinary,alp-entangle_terrain-b-f
Eriks Curiosa,250.13,Alpha,Standard,Unique,alp-eriks_curiosa-b-s
Escyllion Cyclops,0.41,Alpha,Standard,Exceptional,alp-escyllion_cyclops-b-s
Escyllion Cyclops Foil,10.98,Alpha,Foil,Exceptional,alp-escyllion_cyclops-b-f
Evil Presence,0.53,Alpha,Standard,Exceptional,alp-evil_presence-b-s
Evil Presence Foil,40.31,Alpha,Foil,Exceptional,alp-evil_presence-b-f
Exorcism,0.18,Alpha,Standard,Ordinary,alp-exorcism-b-s
Exorcism Foil,14.61,Alpha,Foil,Ordinary,alp-exorcism-b-f
Extinguish,0.17,Alpha,Standard,Ordinary,alp-extinguish-b-s
Extinguish Foil,11.0,Alpha,Foil,Ordinary,alp-extinguish-b-f
Fade,0.21,Alpha,Standard,Ordinary,alp-fade-b-s
Fade Foil,8.55,Alpha,Foil,Ordinary,alp-fade-b-f
Far East Assassin,1.01,Alpha,Standard,Elite,alp-far_east_assassin-b-s
Felbog Frog Men,0.31,Alpha,Standard,Exceptional,alp-felbog_frog_men-b-s
Felbog Frog Men Foil,13.0,Alpha,Foil,Exceptional,alp-felbog_frog_men-b-f
Fenvale Muse,0.14,Alpha,Standard,Ordinary,alp-fenvale_muse-b-s
Fenvale Muse Foil,12.62,Alpha,Foil,Ordinary,alp-fenvale_muse-b-f
Fey Changeling,0.38,Alpha,Standard,Exceptional,alp-fey_changeling-b-s
Fey Changeling Foil,17.2,Alpha,Foil,Exceptional,alp-fey_changeling-b-f
Fire Harpoons,0.18,Alpha,Standard,Ordinary,alp-fire_harpoons-b-s
Fireball,0.51,Alpha,Standard,Exceptional,alp-fireball-b-s
Fireball Foil,11.6,Alpha,Foil,Exceptional,alp-fireball-b-f
Firebolts,0.22,Alpha,Standard,Ordinary,alp-firebolts-b-s
Firebolts Foil,15.5,Alpha,Foil,Ordinary,alp-firebolts-b-f
Flame Wave,1.43,Alpha,Standard,Elite,alp-flame_wave-b-s
Flame Wave Foil,29.95,Alpha,Foil,Elite,alp-flame_wave-b-f
Flaming Sword,0.36,Alpha,Standard,Exceptional,alp-flaming_sword-b-s
Flaming Sword Foil,24.58,Alpha,Foil,Exceptional,alp-flaming_sword-b-f
Flanking Maneuver,0.41,Alpha,Standard,Exceptional,alp-flanking_maneuver-b-s
Flanking Maneuver Foil,9.0,Alpha,Foil,Exceptional,alp-flanking_maneuver-b-f
Flood,0.47,Alpha,Standard,Exceptional,alp-flood-b-s
Flood Preconstructed Deck,0.97,Alpha,Standard,Exceptional,
Floodplain,0.88,Alpha,Standard,Exceptional,alp-floodplain-b-s
Floodplain Foil,37.5,Alpha,Foil,Exceptional,alp-floodplain-b-f
Floodplain Preconstructed Deck,0.94,Alpha,Standard,Exceptional,
Font of Life,0.43,Alpha,Standard,Exceptional,alp-font_of_life-b-s
Font of Life Foil,14.5,Alpha,Foil,Exceptional,alp-font_of_life-b-f
Free City,1.29,Alpha,Standard,Exceptional,alp-free_city-b-s
Free City Foil,35.16,Alpha,Foil,Exceptional,alp-free_city-b-f
Frontier Settlers,0.58,Alpha,Standard,Exceptional,alp-frontier_settlers-b-s
Frontier Settlers Foil,39.66,Alpha,Foil,Exceptional,alp-frontier_settlers-b-f
Frost Nova,0.34,Alpha,Standard,Exceptional,alp-frost_nova-b-s
Geyser,0.36,Alpha,Standard,Exceptional,alp-geyser-b-s
Ghost Ship,0.78,Alpha,Standard,Elite,alp-ghost_ship-b-s
Ghost Ship Foil,80.0,Alpha,Foil,Elite,alp-ghost_ship-b-f
Giant Shark,0.43,Alpha,Standard,Exceptional,alp-giant_shark-b-s
Gigantism,9.57,Alpha,Standard,Unique,alp-gigantism-b-s
Gilded Aegis,11.55,Alpha,Standard,Unique,alp-gilded_aegis-b-s
Gneissgnath Gnomes,0.53,Alpha,Standard,Exceptional,alp-gneissgnath_gnomes-b-s
Gneissgnath Gnomes Foil,21.41,Alpha,Foil,Exceptional,alp-gneissgnath_gnomes-b-f
Gnome Hollows,0.83,Alpha,Standard,Exceptional,alp-gnome_hollows-b-s
Gnome Hollows Foil,30.99,Alpha,Foil,Exceptional,alp-gnome_hollows-b-f
Gothic Tower,0.36,Alpha,Standard,Ordinary,alp-gothic_tower-b-s
Gothic Tower Foil,26.56,Alpha,Foil,Ordinary,alp-gothic_tower-b-f
Grandmaster Wizard,5.84,Alpha,Standard,Elite,alp-grandmaster_wizard-b-s
Grandmaster Wizard Preconstructed Deck,6.91,Alpha,Standard,Elite,
Grapple Shot,0.26,Alpha,Standard,Ordinary,alp-grapple_shot-b-s
Grapple Shot Foil,36.53,Alpha,Foil,Ordinary,alp-grapple_shot-b-f
Great Old One,19.22,Alpha,Standard,Unique,alp-great_old_one-b-s
Great Wall,7.38,Alpha,Standard,Unique,alp-great_wall-b-s
Grey Wolves,0.72,Alpha,Standard,Ordinary,alp-grey_wolves-b-s
Grey Wolves Foil,53.1,Alpha,Foil,Ordinary,alp-grey_wolves-b-f
Grim Reaper,21.74,Alpha,Standard,Unique,alp-grim_reaper-b-s
Grosse Poltergeist,0.75,Alpha,Standard,Elite,alp-grosse_poltergeist-b-s
Grosse Poltergeist Foil,39.0,Alpha,Foil,Elite,alp-grosse_poltergeist-b-f
Guile Sirens,0.38,Alpha,Standard,Exceptional,alp-guile_sirens-b-s
Guile Sirens Foil,17.01,Alpha,Foil,Exceptional,alp-guile_sirens-b-f
Guile Sirens Preconstructed Deck,0.94,Alpha,Standard,Exceptional,
Gyre Hippogriffs,0.59,Alpha,Standard,Exceptional,alp-gyre_hippogriffs-b-s
Haast Eagle,0.37,Alpha,Standard,Exceptional,alp-haast_eagle-b-s
Headless Haunt,0.56,Alpha,Standard,Exceptional,alp-headless_haunt-b-s
Headless Haunt Foil,20.48,Alpha,Foil,Exceptional,alp-headless_haunt-b-f
Heat Ray,0.18,Alpha,Standard,Ordinary,alp-heat_ray-b-s
Heat Ray Foil,10.72,Alpha,Foil,Ordinary,alp-heat_ray-b-f
Highland Clansmen,0.08,Alpha,Standard,Ordinary,alp-highland_clansmen-b-s
Highland Clansmen Foil,7.63,Alpha,Foil,Ordinary,alp-highland_clansmen-b-f
Highland Falconer,2.39,Alpha,Standard,Elite,alp-highland_falconer-b-s
Highland Princess,34.67,Alpha,Standard,Unique,alp-highland_princess-b-s
Hillock Basilisk,0.3,Alpha,Standard,Exceptional,alp-hillock_basilisk-b-s
Hillock Basilisk Foil,14.93,Alpha,Foil,Exceptional,alp-hillock_basilisk-b-f
Holy Ground,0.45,Alpha,Standard,Exceptional,alp-holy_ground-b-s
Hounds of Ondaros,2.36,Alpha,Standard,Elite,alp-hounds_of_ondaros-b-s
Hounds of Ondaros Foil,54.66,Alpha,Foil,Elite,alp-hounds_of_ondaros-b-f
House Arn Bannerman,0.39,Alpha,Standard,Exceptional,alp-house_arn_bannerman-b-s
Humble Village,0.25,Alpha,Standard,Ordinary,alp-humble_village-b-s
Humble Village Foil,14.58,Alpha,Foil,Ordinary,alp-humble_village-b-f
Ice Lance,0.15,Alpha,Standard,Ordinary,alp-ice_lance-b-s
Iceberg,0.66,Alpha,Standard,Exceptional,alp-iceberg-b-s
Iceberg Foil,12.75,Alpha,Foil,Exceptional,alp-iceberg-b-f
Immolation,15.74,Alpha,Standard,Unique,alp-immolation-b-s
Imperial Road,1.96,Alpha,Standard,Elite,alp-imperial_road-b-s
Incinerate,0.08,Alpha,Standard,Ordinary,alp-incinerate-b-s
Incinerate Foil,10.99,Alpha,Foil,Ordinary,alp-incinerate-b-f
Infernal Legion,0.73,Alpha,Standard,Elite,alp-infernal_legion-b-s
Infernal Legion Foil,220.0,Alpha,Foil,Elite,alp-infernal_legion-b-f
Infernal Legion Preconstructed Deck,1.25,Alpha,Standard,Elite,
Infiltrate,4.08,Alpha,Standard,Elite,alp-infiltrate-b-s
Infiltrate Foil,149.01,Alpha,Foil,Elite,alp-infiltrate-b-f
Iron Shackles,0.27,Alpha,Standard,Exceptional,alp-iron_shackles-b-s
Iron Shackles Foil,20.0,Alpha,Foil,Exceptional,alp-iron_shackles-b-f
Island Leviathan,0.9,Alpha,Standard,Elite,alp-island_leviathan-b-s
Island Leviathan Preconstructed Deck,0.7,Alpha,Standard,Elite,
Karkemish Chimera,0.86,Alpha,Standard,Elite,alp-karkemish_chimera-b-s
King of the Realm,4.72,Alpha,Standard,Unique,alp-king_of_the_realm-b-s
King of the Realm Preconstructed Deck,3.41,Alpha,Standard,Unique,
Kingdom of Agartha,5.96,Alpha,Standard,Unique,alp-kingdom_of_agartha-b-s
Kite Archer,0.43,Alpha,Standard,Exceptional,alp-kite_archer-b-s
Kite Archer Foil,13.0,Alpha,Foil,Exceptional,alp-kite_archer-b-f
Kythera Mechanism,19.52,Alpha,Standard,Unique,alp-kythera_mechanism-b-s
Land Deed,1.25,Alpha,Standard,Elite,alp-land_deed-b-s
Land Surveyor,0.28,Alpha,Standard,Ordinary,alp-land_surveyor-b-s
Land Surveyor Foil,14.0,Alpha,Foil,Ordinary,alp-land_surveyor-b-f
Lava Salamander,0.45,Alpha,Standard,Exceptional,alp-lava_salamander-b-s
Lava Salamander Foil,12.49,Alpha,Foil,Exceptional,alp-lava_salamander-b-f
Leap Attack,0.42,Alpha,Standard,Exceptional,alp-leap_attack-b-s
Lighthouse,2.93,Alpha,Standard,Exceptional,alp-lighthouse-b-s
Lightning Bolt,0.26,Alpha,Standard,Ordinary,alp-lightning_bolt-b-s
Lightning Bolt Foil,16.65,Alpha,Foil,Ordinary,alp-lightning_bolt-b-f
Lone Tower,0.32,Alpha,Standard,Ordinary,alp-lone_tower-b-s
Lone Tower Foil,25.99,Alpha,Foil,Ordinary,alp-lone_tower-b-f
Lord of Unland,10.43,Alpha,Standard,Unique,alp-lord_of_unland-b-s
Lord of the Void,8.9,Alpha,Standard,Unique,alp-lord_of_the_void-b-s
Lucky Charm,0.29,Alpha,Standard,Exceptional,alp-lucky_charm-b-s
Lucky Charm Foil,19.51,Alpha,Foil,Exceptional,alp-lucky_charm-b-f
Mad Dash,0.22,Alpha,Standard,Ordinary,alp-mad_dash-b-s
Mad Dash Foil,17.99,Alpha,Foil,Ordinary,alp-mad_dash-b-f
Maddening Bells,1.17,Alpha,Standard,Elite,alp-maddening_bells-b-s
Maddening Bells Foil,33.0,Alpha,Foil,Elite,alp-maddening_bells-b-f
Maelstrom,3.84,Alpha,Standard,Unique,alp-maelstrom-b-s
Maelstrom Foil,326.29,Alpha,Foil,Unique,alp-maelstrom-b-f
Maelstrom Preconstructed Deck,3.02,Alpha,Standard,Unique,
Mage Slayer,0.2,Alpha,Standard,Ordinary,alp-mage_slayer-b-s
Mage Slayer Foil,10.13,Alpha,Foil,Ordinary,alp-mage_slayer-b-f
Magellan Globe,2.43,Alpha,Standard,Elite,alp-magellan_globe-b-s
Magnetic Muzzle,1.36,Alpha,Standard,Elite,alp-magnetic_muzzle-b-s
Major Explosion,0.82,Alpha,Standard,Elite,alp-major_explosion-b-s
Major Explosion Foil,45.0,Alpha,Foil,Elite,alp-major_explosion-b-f
Marine Voyage,0.36,Alpha,Standard,Exceptional,alp-marine_voyage-b-s
Marine Voyage Foil,20.41,Alpha,Foil,Exceptional,alp-marine_voyage-b-f
Mariners Curse,0.35,Alpha,Standard,Exceptional,alp-mariners_curse-b-s
